Группа_Компаний,Юр_Лицо,ИНН,Год,Бассейн,Объект_Лова,Тип_Квоты,Доля_%,Объем_Тонн,Дата_Начала_Договора,Дата_Окончания_Договора,Причина_Изменения
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2023,Дальневосточный,Кукумария (639),Промышленная,2.284,32.963,30.08.2018,29.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2024,Дальневосточный,Кукумария (639),Промышленная,2.284,8.994,30.08.2018,29.08.2033,Регулятор/Инвестквоты
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2025,Дальневосточный,Кукумария (639),Промышленная,2.284,9.769,30.08.2018,29.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2026,Дальневосточный,Кукумария (639),Промышленная,2.284,8.973,30.08.2018,29.08.2033,Биология/ОДУ
,"ОАО ""РК ""Приморец""",2503029553,2023,Дальневосточный,Минтай,Промышленная,0.961,2813.911,30.08.2018,29.08.2033,
,"ОАО ""РК ""Приморец""",2503029553,2023,Дальневосточный,Минтай,Промышленная,0.533,1193.275,31.08.2018,30.08.2033,
,"ОАО ""РК ""Приморец""",2503029553,2023,Дальневосточный,Минтай,Промышленная,0.458,110.307,31.08.2018,30.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2023,Дальневосточный,Минтай,Промышленная,0.458,110.307,31.08.2018,30.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2024,Дальневосточный,Минтай,Промышленная,0.458,100.572,31.08.2018,30.08.2033,Биология/ОДУ
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2024,Дальневосточный,Минтай,Промышленная,0.961,2918.863,30.08.2018,29.08.2033,Биология/ОДУ
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2025,Дальневосточный,Минтай,Промышленная,0.961,2962.612,30.08.2018,29.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2025,Дальневосточный,Минтай,Промышленная,0.458,75.166,31.08.2018,30.08.2033,Регулятор/Инвестквоты
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2026,Дальневосточный,Минтай,Промышленная,0.961,2900.243,30.08.2018,29.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2026,Дальневосточный,Минтай,Промышленная,0.458,69.941,31.08.2018,30.08.2033,Биология/ОДУ
,ОАО «РК «ПРИМОРЕЦ»,2503029553,2026,Дальневосточный,Минтай,Промышленная,,0.961,nan,nan,Биология/ОДУ
,"ОАО ""РК ""Приморец""",2503029553,2023,Дальневосточный,Сельдь,Промышленная,1.441,3852.699,30.08.2018,29.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2024,Дальневосточный,Сельдь,Промышленная,1.441,4061.616,30.08.2018,29.08.2033,
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2025,Дальневосточный,Сельдь,Промышленная,1.441,3813.037,30.08.2018,29.08.2033,Регулятор/Инвестквоты
,"ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2026,Дальневосточный,Сельдь,Промышленная,1.441,4609.663,30.08.2018,29.08.2033,
,ОАО «РК «ПРИМОРЕЦ»,2503029553,2026,Дальневосточный,Сельдь,Промышленная,,1.441,nan,nan,Регулятор/Инвестквоты
,"ЗАО ""Альбакор Прим""",2503030527,2023,Дальневосточный,Краб,Промышленная,4.474,137.121,04.09.2018,03.09.2033,
,"ЗАО ""Альбакор Прим""",2503030527,2023,Дальневосточный,Краб,Промышленная,4.474,137.121,04.09.2018,03.09.2033,
,"ЗАО ""АЛЬБАКОР ПРИМ""",2503030527,2024,Дальневосточный,Краб,Промышленная,4.474,131.976,04.09.2018,03.09.2033,Биология/ОДУ
,"ЗАО ""АЛЬБАКОР ПРИМ""",2503030527,2025,Дальневосточный,Краб,Промышленная,4.474,136.677,04.09.2018,03.09.2033,
