haul_id,start_time,end_time,date_local,duration_hours,points,mean_speed,mean_depth,min_depth,max_depth,distance_nm,lat_start,lon_start,lat_end,lon_end
42,2026-01-13 02:44:45+00:00,2026-01-13 04:15:26+00:00,2026-01-13,1.511388888888889,7,3.642857074737549,-250.71428571428572,-278,-232,4.416804183320299,55.015633333333334,154.42093333333332,54.94545,154.39876666666666
43,2026-01-13 05:18:28+00:00,2026-01-13 09:45:18+00:00,2026-01-13,4.447222222222222,12,3.6833333174387612,-232.66666666666666,-274,-213,16.311593073265332,54.794983333333334,154.41548333333333,54.52693333333333,154.4604
44,2026-01-13 10:56:59+00:00,2026-01-13 14:57:56+00:00,2026-01-13,4.015833333333333,11,3.263636350631714,-214.27272727272728,-238,-192,12.97651471414842,54.458216666666665,154.43786666666668,54.25416666666667,154.32963333333333
45,2026-01-13 20:55:47+00:00,2026-01-14 00:12:08+00:00,2026-01-13,3.2725,7,3.3999999591282437,-218.28571428571428,-236,-198,13.247500978130194,54.385283333333334,154.35098333333335,54.604366666666664,154.38038333333333
46,2026-01-14 00:47:38+00:00,2026-01-14 07:46:37+00:00,2026-01-14,6.983055555555556,24,3.658333351214727,-216.375,-243,-173,25.907153650978987,54.594883333333335,154.39975,54.177548333333334,154.31435
47,2026-01-14 09:19:18+00:00,2026-01-14 13:38:28+00:00,2026-01-14,4.319444444444445,16,3.731249988079071,-233.5625,-246,-224,15.949981260148405,54.05385,154.31711666666666,54.31248166666666,154.3255
48,2026-01-14 14:16:22+00:00,2026-01-14 16:18:37+00:00,2026-01-14,2.0375,6,3.4666666984558105,-233.83333333333334,-241,-225,6.486756309758276,54.382133333333336,154.33325,54.27421666666667,154.33448333333334
49,2026-01-14 17:06:06+00:00,2026-01-14 18:22:08+00:00,2026-01-14,1.2672222222222222,3,4.299999872843425,-230.66666666666666,-240,-223,5.474566252287444,54.32698333333333,154.33066666666667,54.41813333333333,154.33036666666666
50,2026-01-14 19:31:46+00:00,2026-01-15 01:21:28+00:00,2026-01-14,5.828333333333333,19,3.973684223074662,-229.05263157894737,-259,-203,21.28426467906314,54.50205,154.35,54.459633333333336,154.32996666666668
51,2026-01-15 02:27:18+00:00,2026-01-15 05:58:30+00:00,2026-01-15,3.52,8,4.050000011920929,-239.375,-247,-231,11.466048613339012,54.39575,154.31455,54.255383333333334,154.23621666666668
52,2026-01-15 08:53:43+00:00,2026-01-15 09:42:19+00:00,2026-01-15,0.81,4,3.699999988079071,-264.0,-266,-262,2.6642938394535984,54.45418333333333,154.239815,54.49336666666667,154.21704833333334
53,2026-01-15 11:54:18+00:00,2026-01-15 15:34:27+00:00,2026-01-15,3.669166666666667,13,3.5999999963320217,-291.6923076923077,-326,-261,12.647453051890638,54.44121666666667,154.19993166666666,54.2716,154.1067
54,2026-01-15 16:36:55+00:00,2026-01-16 01:45:12+00:00,2026-01-15,9.138055555555555,34,4.161764705882353,-279.1764705882353,-312,-242,33.60632463702798,54.332366666666665,154.09015,54.38115,154.12908333333334
55,2026-01-16 02:56:48+00:00,2026-01-16 06:17:56+00:00,2026-01-16,3.352222222222222,11,3.090909090909091,-286.3636363636364,-323,-258,11.399252262709528,54.3184,154.11256666666668,54.141733333333335,154.20533333333333
56,2026-01-16 08:22:19+00:00,2026-01-16 09:30:09+00:00,2026-01-16,1.1305555555555555,3,3.799999952316284,-257.6666666666667,-268,-242,4.370065885637821,54.12233333333333,154.24213333333333,54.19461666666667,154.22806666666668
57,2026-01-16 10:30:17+00:00,2026-01-16 16:03:16+00:00,2026-01-16,5.549722222222223,17,3.682352935566622,-261.05882352941177,-278,-242,20.76650894267283,54.25581666666667,154.201415,54.588033333333335,154.30655
58,2026-01-16 17:35:06+00:00,2026-01-16 19:52:47+00:00,2026-01-16,2.294722222222222,8,2.787500023841858,-294.25,-309,-279,6.596749065114937,54.565733333333334,154.16941666666668,54.458483333333334,154.15001666666666
