Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
Арктик Орион,,,,,Эксплуатация,Дальневосточный,2536010639,"АО ""Р/К ""ВОСТОК-1""",a57117498-8436-5a83-2945-37ec39416c10,ORION,Приморский край
Арктика,АК -0445,9694725,,,Эксплуатация,Северный,2901299485,"ООО ""ПЕЛАГИКА""",deeb73ec3-375b-6a72-030a-7f2f791438ba,ARKTIKA,Мурманская обл.
Арктур,МК-0652,,,,Эксплуатация,Северный,5190029090,"ООО ""ЭТА-ТРЕЙД""",4fda278d9-9ca1-cc31-0455-6bbca3763ed0,ARKTUR,Мурманская обл.
Арменак Бабаев,К-1988,8859940,БАТМ,,Эксплуатация,Норвежский,3903000159,"ЗАО ""ВЕСТРЫБФЛОТ""",4a5f88ab6-6500-cc95-caa0-a052e7ee23b7,ARMENAK BABAEV,Калининградская обл.
Артур,,,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",16890ebc4-42af-4eb6-dccf-8c89575a1b1a,,Приморский край
Архангельск,АК-0738,9241059,,,Эксплуатация,Северный,2901251074,"ООО ""ПОМОР СИФУД""",efec87bde-ef47-126f-b7dc-0d95bc78839d,ARKHANGELSK,Мурманская обл.
Асанда,,6914514,СКТР,,Эксплуатация,Дальневосточный,4909056047,"ООО ""МАГАДАНРЫБА""",9074f6a5a-a97a-399c-23ec-b7cac3b205d1,ASANDA,Магаданская обл.
Асанда,,6914514,СКТР,,Эксплуатация,Дальневосточный,2537089631,"ООО ""ИСТОК-АБ""",9074f6a5a-a97a-399c-23ec-b7cac3b205d1,ASANDA,Приморский край
Асача,,7832816,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",222a45291-199b-ff15-12e7-b117f8df5c76,ASACHA,Приморский край
Аскольд,,,РС,,Эксплуатация,Дальневосточный,2536319762,"ООО ""ДАЛЬНЕВОСТОЧНЫЙ КРАБ""",cdbc9cd40-0ffa-92a5-e440-496794c744cf,ASKOLD,Приморский край
Аскольд,,,РШ,,Эксплуатация,Дальневосточный,2503032080,"ООО ""РУССКИЙ БЕРЕГ""",cdbc9cd40-0ffa-92a5-e440-496794c744cf,ASKOLD,Приморский край
Астроном,,8225503,БМРТ,,Эксплуатация,Дальневосточный,2508007948,"ПАО ""НБАМР""",1126ef70b-b798-13cb-474f-8c34190bab24,ASTRONOM,Приморский край
Атка,,,РС,,Эксплуатация,Дальневосточный,4909053889,"ООО «ТИХРЫБКОМ""",b1736a016-6a45-f154-83b2-f1b71812d141,ATKA,Магаданская обл.
Атка Энтерпрайс,М-0263,,,,Эксплуатация,Северный,5191204516,"ООО ""Арктиксервис""",,,Мурманская обл.
Аурус,,,СТР,,Эксплуатация,Дальневосточный,2508052972,"ООО ""ИНСОФ МАРИН""",c652a9f89-9012-105d-2f02-b2951d955781,AURUS,Приморский край
Афалина,,,РС,,Эксплуатация,Дальневосточный,2539041064,"ООО  ""ИНТЕРРЫБФЛОТ""",7f3366c44-489d-4603-b6d5-5a23ab43b433,AFALINA,Приморский край
Афалина,,,РС,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",7f3366c44-489d-4603-b6d5-5a23ab43b433,AFALINA,Сахалинская обл.
Ахтиар,,8411085,БМРТ,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",5ddb64d7e-ec33-e20d-7265-c717e3c59313,AHTIAR,Сахалинская обл.
Ачинск,АК-0751,8134912,,,Эксплуатация,Северный,2901128602,"АО ""АТФ""",74ad60777-79d3-98c4-d3ab-e05089d1bcdc,ACHINSK,Мурманская обл.
Аякс,,,РС,,Эксплуатация,Дальневосточный,2536334993,"ООО ""ВЛАДКРАБ""",23822438a-acd8-2f00-5992-1b46f58de23c,AYAKS,Приморский край
Аян,,,СРТМ,,Эксплуатация,Дальневосточный,2722090350,"АО ""Дальневосточное морепромышленное объединение""",780cf600b-b751-a820-06b4-e38aa3ad2dbf,AYAN,Хабаровский край
