Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
"АО ""Дальрыба"" — Минтай — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,0.116,71.097,05.09.2018,04.09.2033,,
"АО ""ДАЛЬРЫБА"" — Минтай — 2023","АО ""ДАЛЬРЫБА""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.232,14.984,05.09.2018,04.09.2033,,
"АО ""ДАЛЬРЫБА"" — Минтай — 2024","АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Минтай,Промышленная,1.232,6683.407,05.09.2018,04.09.2033,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Минтай — 2024","АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Минтай,Промышленная,1.522,1052.355,05.09.2018,04.09.2033,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Минтай — 2025","АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Минтай,Промышленная,1.232,7256.39,05.09.2018,04.09.2033,Регулятор/Инвестквоты,
"АО ""ДАЛЬРЫБА"" — Минтай — 2025","АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Минтай,Промышленная,1.522,1126.343,05.09.2018,04.09.2033,Регулятор/Инвестквоты,
"АО ""ДАЛЬРЫБА"" — Минтай — 2026","АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Минтай,Промышленная,1.232,5478.764,05.09.2018,04.09.2033,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Минтай — 2026","АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Минтай,Промышленная,1.522,1400.343,05.09.2018,04.09.2033,Биология/ОДУ,
АО «ДАЛЬРЫБА» — Минтай — 2026,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Минтай,Промышленная,,1.232,nan,nan,Биология/ОДУ,
"АО ""Дальрыба"" — Сельдь — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Сельдь,Промышленная,0.391,126.052,29.08.2018,28.08.2033,,
"АО ""Дальрыба"" — Сельдь — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Сельдь,Промышленная,0.391,126.052,29.08.2018,28.08.2033,,
"АО ""ДАЛЬРЫБА"" — Сельдь — 2024","АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Сельдь,Промышленная,0.391,126.836,29.08.2018,28.08.2033,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Сельдь — 2025","АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Сельдь,Промышленная,0.163,78.49,29.09.2020,28.09.2035,Регулятор/Инвестквоты,
"АО ""ДАЛЬРЫБА"" — Сельдь — 2026","АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Сельдь,Промышленная,0.163,150.786,29.09.2020,28.09.2035,,
АО «ДАЛЬРЫБА» — Сельдь — 2026,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Сельдь,Промышленная,,0.163,nan,nan,Регулятор/Инвестквоты,
"АО ""Дальрыба"" — Треска — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.094,74.542,31.08.2018,30.08.2033,,
"АО ""Дальрыба"" — Треска — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.026,3.249,29.09.2020,28.09.2035,,
"АО ""Дальрыба"" — Треска — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.026,3.249,29.09.2020,28.09.2035,,
"АО ""ДАЛЬРЫБА"" — Треска — 2023","АО ""ДАЛЬРЫБА""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.094,75.486,31.08.2018,30.08.2033,,
"АО ""ДАЛЬРЫБА"" — Треска — 2024","АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Треска,Промышленная,0.094,50.709,31.08.2018,30.08.2033,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Треска — 2024","АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Треска,Промышленная,0.026,3.378,29.09.2020,28.09.2035,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Треска — 2025","АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Треска,Промышленная,0.094,42.806,31.08.2018,30.08.2033,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Треска — 2025","АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Треска,Промышленная,0.026,4.372,29.09.2020,28.09.2035,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Треска — 2026","АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Треска,Промышленная,0.094,42.821,31.08.2018,30.08.2033,Биология/ОДУ,
АО «ДАЛЬРЫБА» — Треска — 2026,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Треска,Промышленная,,0.094,nan,nan,Биология/ОДУ,
ООО «ПРИМОРСКИЕ МОЛЛЮСКИ» — Кукумария — 2026,ООО «ПРИМОРСКИЕ МОЛЛЮСКИ»,2502072933,2026,Дальневосточный,Кукумария,Промышленная,,27.98,nan,nan,,
"ООО ""ПРИМОРСКИЕ моллюски"" — Кукумария (639) — 2025","ООО ""ПРИМОРСКИЕ моллюски""",2502072933,2025,Дальневосточный,Кукумария (639),Промышленная,27.98,119.671,29.08.2018,28.08.2033,,
"ООО ""ПРИМОРСКИЕ моллюски"" — Кукумария (639) — 2026","ООО ""ПРИМОРСКИЕ моллюски""",2502072933,2026,Дальневосточный,Кукумария (639),Промышленная,27.98,109.919,29.08.2018,28.08.2033,Биология/ОДУ,
ООО «ПРИМОРСКИЕ МОЛЛЮСКИ» — Спизула — 2026,ООО «ПРИМОРСКИЕ МОЛЛЮСКИ»,2502072933,2026,Дальневосточный,Спизула,Промышленная,,6.252,nan,nan,,
