Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
ООО «ФРЕГАТ» — Кукумария — 2026,ООО «ФРЕГАТ»,6505009408,2026,Дальневосточный,Кукумария,Промышленная,,0.885,nan,nan,,
"ООО ""ФРЕГАТ"" — Кукумария (639) — 2024","ООО ""ФРЕГАТ""",6505009408,2024,Дальневосточный,Кукумария (639),Промышленная,0.885,26.138,05.05.2022,04.05.2037,,
"ООО ""ФРЕГАТ"" — Кукумария (639) — 2025","ООО ""ФРЕГАТ""",6505009408,2025,Дальневосточный,Кукумария (639),Промышленная,0.885,26.137,05.05.2022,04.05.2037,,
"ООО ""ФРЕГАТ"" — Кукумария (639) — 2026","ООО ""ФРЕГАТ""",6505009408,2026,Дальневосточный,Кукумария (639),Промышленная,0.885,26.137,05.05.2022,04.05.2037,,
"ООО ""Дельта"" — Навага — 2023","ООО ""Дельта""",6505009528,2023,Дальневосточный,Навага,Промышленная,1.642,76.287,30.08.2018,29.08.2033,,
ООО «ДЕЛЬТА» — Навага — 2026,ООО «ДЕЛЬТА»,6505009528,2026,Дальневосточный,Навага,Промышленная,,1.642,nan,nan,,
"ООО ""ДЕЛЬТА"" — Навага (403) — 2026","ООО ""ДЕЛЬТА""",6505009528,2026,Дальневосточный,Навага (403),Промышленная,1.642,106.805,30.08.2018,29.08.2033,,
"ООО ""ДЕЛЬТА"" — Навага (403) 1 — 2024","ООО ""ДЕЛЬТА""",6505009528,2024,Дальневосточный,Навага (403) 1,Промышленная,1.642,79.327,30.08.2018,29.08.2033,,
"ООО ""ДЕЛЬТА"" — Навага (403) 1 — 2025","ООО ""ДЕЛЬТА""",6505009528,2025,Дальневосточный,Навага (403) 1,Промышленная,1.642,108.783,30.08.2018,29.08.2033,,
"ООО ""РКХ ""Сахалин"" — Кальмар — 2023","ООО ""РКХ ""Сахалин""",6505010379,2023,Дальневосточный,Кальмар,Промышленная,0.475,394.26,28.08.2018,27.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Кальмар — 2023","ООО ""РКХ ""САХАЛИН""",6505010379,2023,Дальневосточный,Кальмар,Промышленная,0.475,394.26,28.08.2018,27.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Кальмар — 2024","ООО ""РКХ ""САХАЛИН""",6505010379,2024,Дальневосточный,Кальмар,Промышленная,0.475,355.075,28.08.2018,27.08.2033,Биология/ОДУ,
"ООО ""РКХ ""САХАЛИН"" — Кальмар — 2025","ООО ""РКХ ""САХАЛИН""",6505010379,2025,Дальневосточный,Кальмар,Промышленная,0.475,344.192,28.08.2018,27.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Кальмар — 2026","ООО ""РКХ ""САХАЛИН""",6505010379,2026,Дальневосточный,Кальмар,Промышленная,0.475,336.908,28.08.2018,27.08.2033,,
ООО «РКХ «САХАЛИН» — Кальмар — 2026,ООО «РКХ «САХАЛИН»,6505010379,2026,Дальневосточный,Кальмар,Промышленная,,0.475,nan,nan,Биология/ОДУ,
"ООО ""РКХ ""Сахалин"" — Камбалы дальневосточные — 2023","ООО ""РКХ ""Сахалин""",6505010379,2023,Дальневосточный,Камбалы дальневосточные,Промышленная,1.728,20.135,28.08.2018,27.08.2033,,
ООО «РКХ «САХАЛИН» — Камбалы дальневосточные — 2026,ООО «РКХ «САХАЛИН»,6505010379,2026,Дальневосточный,Камбалы дальневосточные,Промышленная,,1.728,nan,nan,,
"ООО ""РКХ ""САХАЛИН"" — Камбалы дальневосточные (451) — 2024","ООО ""РКХ ""САХАЛИН""",6505010379,2024,Дальневосточный,Камбалы дальневосточные (451),Промышленная,1.728,15.049,28.08.2018,27.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Камбалы дальневосточные (451) — 2025","ООО ""РКХ ""САХАЛИН""",6505010379,2025,Дальневосточный,Камбалы дальневосточные (451),Промышленная,1.728,14.865,28.08.2018,27.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Камбалы дальневосточные (451) — 2026","ООО ""РКХ ""САХАЛИН""",6505010379,2026,Дальневосточный,Камбалы дальневосточные (451),Промышленная,1.728,18.556,28.08.2018,27.08.2033,,
"ООО ""РКХ ""Сахалин"" — Минтай — 2023","ООО ""РКХ ""Сахалин""",6505010379,2023,Дальневосточный,Минтай,Промышленная,0.176,834.051,28.08.2018,27.08.2033,,
"ООО ""РКХ ""Сахалин"" — Минтай — 2023","ООО ""РКХ ""Сахалин""",6505010379,2023,Дальневосточный,Минтай,Промышленная,0.093,57.0,27.08.2018,26.08.2033,,
"ООО ""РКХ ""Сахалин"" — Минтай — 2023","ООО ""РКХ ""Сахалин""",6505010379,2023,Дальневосточный,Минтай,Промышленная,0.176,2.141,28.08.2018,27.08.2033,,
"ООО ""РКХ ""Сахалин"" — Минтай — 2023","ООО ""РКХ ""Сахалин""",6505010379,2023,Дальневосточный,Минтай,Промышленная,0.093,57.0,27.08.2018,26.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Минтай — 2023","ООО ""РКХ ""САХАЛИН""",6505010379,2023,Дальневосточный,Минтай,Промышленная,0.176,2.141,28.08.2018,27.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Минтай — 2024","ООО ""РКХ ""САХАЛИН""",6505010379,2024,Дальневосточный,Минтай,Промышленная,0.176,857.027,28.08.2018,27.08.2033,Биология/ОДУ,
"ООО ""РКХ ""САХАЛИН"" — Минтай — 2024","ООО ""РКХ ""САХАЛИН""",6505010379,2024,Дальневосточный,Минтай,Промышленная,0.093,60.339,27.08.2018,26.08.2033,Биология/ОДУ,
"ООО ""РКХ ""САХАЛИН"" — Минтай — 2025","ООО ""РКХ ""САХАЛИН""",6505010379,2025,Дальневосточный,Минтай,Промышленная,0.176,954.745,28.08.2018,27.08.2033,,
"ООО ""РКХ ""САХАЛИН"" — Минтай — 2025","ООО ""РКХ ""САХАЛИН""",6505010379,2025,Дальневосточный,Минтай,Промышленная,0.093,65.3,27.08.2018,26.08.2033,Регулятор/Инвестквоты,
"ООО ""РКХ ""САХАЛИН"" — Минтай — 2026","ООО ""РКХ ""САХАЛИН""",6505010379,2026,Дальневосточный,Минтай,Промышленная,0.176,739.554,28.08.2018,27.08.2033,Биология/ОДУ,
"ООО ""РКХ ""САХАЛИН"" — Минтай — 2026","ООО ""РКХ ""САХАЛИН""",6505010379,2026,Дальневосточный,Минтай,Промышленная,0.093,80.133,27.08.2018,26.08.2033,Биология/ОДУ,
ООО «РКХ «САХАЛИН» — Минтай — 2026,ООО «РКХ «САХАЛИН»,6505010379,2026,Дальневосточный,Минтай,Промышленная,,0.176,nan,nan,Биология/ОДУ,
"ООО ""Краб Стригун"" — Краб — 2023","ООО ""Краб Стригун""",6505999762,2023,Дальневосточный,Краб,Промышленная,9.75,238.144,04.09.2018,03.09.2033,,
"ООО ""КРАБ СТРИГУН"" — Краб — 2024","ООО ""КРАБ СТРИГУН""",6505999762,2024,Дальневосточный,Краб,Промышленная,9.75,228.881,04.09.2018,03.09.2033,,
"ООО ""КРАБ СТРИГУН"" — Краб — 2025","ООО ""КРАБ СТРИГУН""",6505999762,2025,Дальневосточный,Краб,Промышленная,9.75,251.306,04.09.2018,03.09.2033,,
"ООО ""КРАБ СТРИГУН"" — Краб — 2026","ООО ""КРАБ СТРИГУН""",6505999762,2026,Дальневосточный,Краб,Промышленная,9.75,272.269,04.09.2018,03.09.2033,,
ООО «КРАБ СТРИГУН» — Краб — 2026,ООО «КРАБ СТРИГУН»,6505999762,2026,Дальневосточный,Краб,Промышленная,,9.75,nan,nan,Регулятор/Инвестквоты,
"СПК ""РК ""Дружба"" — Камбалы дальневосточные — 2023","СПК ""РК ""Дружба""",6507000094,2023,Дальневосточный,Камбалы дальневосточные,Промышленная,54.856,1342.764,28.08.2018,27.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Камбалы дальневосточные (451) — 2024","СПК ""РК ""ДРУЖБА""",6507000094,2024,Дальневосточный,Камбалы дальневосточные (451),Промышленная,54.856,1443.696,28.08.2018,27.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Камбалы дальневосточные (451) — 2025","СПК ""РК ""ДРУЖБА""",6507000094,2025,Дальневосточный,Камбалы дальневосточные (451),Промышленная,54.856,1442.992,28.08.2018,27.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Камбалы дальневосточные (451) — 2026","СПК ""РК ""ДРУЖБА""",6507000094,2026,Дальневосточный,Камбалы дальневосточные (451),Промышленная,54.856,3398.464,28.08.2018,27.08.2033,,
"СПК ""РК ""Дружба"" — Кукумария — 2023","СПК ""РК ""Дружба""",6507000094,2023,Дальневосточный,Кукумария,Промышленная,12.879,369.292,29.08.2018,28.08.2033,,
СПК «РК «ДРУЖБА» — Кукумария — 2026,СПК «РК «ДРУЖБА»,6507000094,2026,Дальневосточный,Кукумария,Промышленная,,12.879,nan,nan,,
"СПК ""РК ""ДРУЖБА"" — Кукумария (639) — 2024","СПК ""РК ""ДРУЖБА""",6507000094,2024,Дальневосточный,Кукумария (639),Промышленная,12.879,380.368,29.08.2018,28.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Кукумария (639) — 2025","СПК ""РК ""ДРУЖБА""",6507000094,2025,Дальневосточный,Кукумария (639),Промышленная,12.879,380.356,29.08.2018,28.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Кукумария (639) — 2026","СПК ""РК ""ДРУЖБА""",6507000094,2026,Дальневосточный,Кукумария (639),Промышленная,12.879,380.356,29.08.2018,28.08.2033,,
"СПК ""РК ""Дружба"" — Минтай — 2023","СПК ""РК ""Дружба""",6507000094,2023,Дальневосточный,Минтай,Промышленная,2.148,2152.682,27.08.2018,26.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Минтай — 2023","СПК ""РК ""ДРУЖБА""",6507000094,2023,Дальневосточный,Минтай,Промышленная,2.148,2152.682,27.08.2018,26.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Минтай — 2024","СПК ""РК ""ДРУЖБА""",6507000094,2024,Дальневосточный,Минтай,Промышленная,2.148,2505.503,27.08.2018,26.08.2033,Биология/ОДУ,
"СПК ""РК ""ДРУЖБА"" — Минтай — 2025","СПК ""РК ""ДРУЖБА""",6507000094,2025,Дальневосточный,Минтай,Промышленная,2.148,2823.129,27.08.2018,26.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Минтай — 2026","СПК ""РК ""ДРУЖБА""",6507000094,2026,Дальневосточный,Минтай,Промышленная,2.148,2947.027,27.08.2018,26.08.2033,,
СПК «РК «ДРУЖБА» — Минтай — 2026,СПК «РК «ДРУЖБА»,6507000094,2026,Дальневосточный,Минтай,Промышленная,,2.148,nan,nan,Биология/ОДУ,
"СПК ""РК ""Дружба"" — Навага — 2023","СПК ""РК ""Дружба""",6507000094,2023,Дальневосточный,Навага,Промышленная,47.505,2207.066,27.08.2018,26.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Навага (403) — 2026","СПК ""РК ""ДРУЖБА""",6507000094,2026,Дальневосточный,Навага (403),Промышленная,47.505,3707.979,27.08.2018,26.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Навага (403) 1 — 2024","СПК ""РК ""ДРУЖБА""",6507000094,2024,Дальневосточный,Навага (403) 1,Промышленная,47.505,2754.031,27.08.2018,26.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Навага (403) 1 — 2025","СПК ""РК ""ДРУЖБА""",6507000094,2025,Дальневосточный,Навага (403) 1,Промышленная,47.505,3147.219,27.08.2018,26.08.2033,,
"СПК ""РК ""Дружба"" — Трубачи — 2023","СПК ""РК ""Дружба""",6507000094,2023,Дальневосточный,Трубачи,Промышленная,4.39,44.278,30.08.2018,29.08.2033,,
СПК «РК «ДРУЖБА» — Трубачи — 2026,СПК «РК «ДРУЖБА»,6507000094,2026,Дальневосточный,Трубачи,Промышленная,,4.39,nan,nan,,
"СПК ""РК ""ДРУЖБА"" — Трубачи (927) — 2024","СПК ""РК ""ДРУЖБА""",6507000094,2024,Дальневосточный,Трубачи (927),Промышленная,4.39,33.127,30.08.2018,29.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Трубачи (927) — 2025","СПК ""РК ""ДРУЖБА""",6507000094,2025,Дальневосточный,Трубачи (927),Промышленная,4.39,34.22,30.08.2018,29.08.2033,,
"СПК ""РК ""ДРУЖБА"" — Трубачи (927) — 2026","СПК ""РК ""ДРУЖБА""",6507000094,2026,Дальневосточный,Трубачи (927),Промышленная,4.39,33.43,30.08.2018,29.08.2033,,
"ООО ""ПОРОНАЙ"" — Кальмар — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Кальмар,Промышленная,0.086,71.382,28.08.2018,27.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Кальмар — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Кальмар,Промышленная,0.086,71.382,28.08.2018,27.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Кальмар — 2024","ООО ""ПОРОНАЙ""",6507005529,2024,Дальневосточный,Кальмар,Промышленная,0.059,48.721,28.08.2018,27.08.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Кальмар — 2025","ООО ""ПОРОНАЙ""",6507005529,2025,Дальневосточный,Кальмар,Промышленная,0.086,69.028,28.08.2018,27.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Кальмар — 2026","ООО ""ПОРОНАЙ""",6507005529,2026,Дальневосточный,Кальмар,Промышленная,0.086,67.711,28.08.2018,27.08.2033,,ГК Гидрострой
ООО «ПОРОНАЙ» — Кальмар — 2026,ООО «ПОРОНАЙ»,6507005529,2026,Дальневосточный,Кальмар,Промышленная,,0.086,nan,nan,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Минтай,Промышленная,6.598,6612.383,27.08.2018,26.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Минтай,Промышленная,2.546,12065.299,27.08.2018,26.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Минтай,Промышленная,0.953,2790.486,27.08.2018,26.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Минтай,Промышленная,0.723,1618.645,27.08.2018,26.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Минтай,Промышленная,2.546,30.965,27.08.2018,26.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Минтай,Промышленная,0.587,359.776,27.08.2018,26.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Минтай,Промышленная,2.546,30.965,27.08.2018,26.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2024","ООО ""ПОРОНАЙ""",6507005529,2024,Дальневосточный,Минтай,Промышленная,6.598,7696.14,27.08.2018,26.08.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2024","ООО ""ПОРОНАЙ""",6507005529,2024,Дальневосточный,Минтай,Промышленная,2.546,13811.652,27.08.2018,26.08.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2025","ООО ""ПОРОНАЙ""",6507005529,2025,Дальневосточный,Минтай,Промышленная,6.598,8671.79,27.08.2018,26.08.2033,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2025","ООО ""ПОРОНАЙ""",6507005529,2025,Дальневосточный,Минтай,Промышленная,2.546,14995.753,27.08.2018,26.08.2033,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2026","ООО ""ПОРОНАЙ""",6507005529,2026,Дальневосточный,Минтай,Промышленная,6.598,9052.368,27.08.2018,26.08.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Минтай — 2026","ООО ""ПОРОНАЙ""",6507005529,2026,Дальневосточный,Минтай,Промышленная,2.546,11322.187,27.08.2018,26.08.2033,Биология/ОДУ,ГК Гидрострой
ООО «ПОРОНАЙ» — Минтай — 2026,ООО «ПОРОНАЙ»,6507005529,2026,Дальневосточный,Минтай,Промышленная,,6.598,nan,nan,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ — Сельдь — 2023","ООО ""ПОРОНАЙ",6507005529,2023,Дальневосточный,Сельдь,Промышленная,9.071,2924.335,13.04.2020,12.04.2035,,ГК Гидрострой
"ООО ""ПОРОНАЙ — Сельдь — 2023","ООО ""ПОРОНАЙ",6507005529,2023,Дальневосточный,Сельдь,Промышленная,9.071,2924.335,13.04.2020,12.04.2035,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Сельдь — 2024","ООО ""ПОРОНАЙ""",6507005529,2024,Дальневосточный,Сельдь,Промышленная,9.071,2942.524,13.04.2020,12.04.2035,Биология/ОДУ,ГК Гидрострой
"ООО ""поронаЙ"" — Сельдь — 2025","ООО ""поронаЙ""",6507005529,2025,Дальневосточный,Сельдь,Промышленная,9.071,3570.314,13.04.2020,12.04.2035,,ГК Гидрострой
"ООО""ПОРОНАЙ"" — Сельдь — 2026","ООО""ПОРОНАЙ""",6507005529,2026,Дальневосточный,Сельдь,Промышленная,9.071,4312.92,13.04.2020,12.04.2035,,ГК Гидрострой
ООО «ПОРОНАЙ» — Сельдь — 2026,ООО «ПОРОНАЙ»,6507005529,2026,Дальневосточный,Сельдь,Промышленная,,9.071,nan,nan,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Терпуги — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Терпуги,Промышленная,2.23,363.019,30.08.2018,29.08.2033,,ГК Гидрострой
ООО «ПОРОНАЙ» — Терпуги — 2026,ООО «ПОРОНАЙ»,6507005529,2026,Дальневосточный,Терпуги,Промышленная,,2.23,nan,nan,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Терпуги (692) — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Терпуги (692),Промышленная,2.23,363.28,30.08.2018,29.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Терпуги (692) — 2024","ООО ""ПОРОНАЙ""",6507005529,2024,Дальневосточный,Терпуги (692),Промышленная,2.23,310.992,30.08.2018,29.08.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Терпуги (692) — 2025","ООО ""ПОРОНАЙ""",6507005529,2025,Дальневосточный,Терпуги (692),Промышленная,2.23,550.97,30.08.2018,29.08.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Терпуги (692) — 2026","ООО ""ПОРОНАЙ""",6507005529,2026,Дальневосточный,Терпуги (692),Промышленная,2.23,247.149,30.08.2018,29.08.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Треска — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Треска,Промышленная,0.499,395.708,06.09.2018,05.09.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Треска — 2023","ООО ""ПОРОНАЙ""",6507005529,2023,Дальневосточный,Треска,Промышленная,0.499,400.718,06.09.2018,05.09.2033,,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Треска — 2024","ООО ""ПОРОНАЙ""",6507005529,2024,Дальневосточный,Треска,Промышленная,0.499,269.191,06.09.2018,05.09.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Треска — 2025","ООО ""ПОРОНАЙ""",6507005529,2025,Дальневосточный,Треска,Промышленная,0.499,227.236,06.09.2018,05.09.2033,Биология/ОДУ,ГК Гидрострой
"ООО ""ПОРОНАЙ"" — Треска — 2026","ООО ""ПОРОНАЙ""",6507005529,2026,Дальневосточный,Треска,Промышленная,0.499,227.319,06.09.2018,05.09.2033,,ГК Гидрострой
ООО «ПОРОНАЙ» — Треска — 2026,ООО «ПОРОНАЙ»,6507005529,2026,Дальневосточный,Треска,Промышленная,,0.499,nan,nan,Биология/ОДУ,ГК Гидрострой
"ООО ""Краб"" — Навага — 2023","ООО ""Краб""",6507009273,2023,Дальневосточный,Навага,Промышленная,2.054,114.514,06.09.2018,05.09.2033,,
"ООО ""КРАБ"" — Навага (403) — 2026","ООО ""КРАБ""",6507009273,2026,Дальневосточный,Навага (403),Промышленная,2.054,160.324,06.09.2018,05.09.2033,,
"ООО ""КРАБ"" — Навага (403) 1 — 2024","ООО ""КРАБ""",6507009273,2024,Дальневосточный,Навага (403) 1,Промышленная,2.054,119.078,06.09.2018,05.09.2033,,
"ООО ""КРАБ"" — Навага (403) 1 — 2025","ООО ""КРАБ""",6507009273,2025,Дальневосточный,Навага (403) 1,Промышленная,2.054,136.078,06.09.2018,05.09.2033,,
"ООО ""Поронайский зверосовхоз"" — Камбалы дальневосточные — 2023","ООО ""Поронайский зверосовхоз""",6507010423,2023,Дальневосточный,Камбалы дальневосточные,Промышленная,7.084,208.082,28.08.2018,27.08.2033,,
"ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ"" — Камбалы дальневосточные (451) — 2024","ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ""",6507010423,2024,Дальневосточный,Камбалы дальневосточные (451),Промышленная,7.084,186.436,28.08.2018,27.08.2033,,
"ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ"" — Камбалы дальневосточные (451) — 2025","ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ""",6507010423,2025,Дальневосточный,Камбалы дальневосточные (451),Промышленная,7.084,186.345,28.08.2018,27.08.2033,,
"ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ"" — Камбалы дальневосточные (451) — 2026","ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ""",6507010423,2026,Дальневосточный,Камбалы дальневосточные (451),Промышленная,7.084,438.871,28.08.2018,27.08.2033,,
"ООО ""Поронайский зверосовхоз"" — Навага — 2023","ООО ""Поронайский зверосовхоз""",6507010423,2023,Дальневосточный,Навага,Промышленная,7.527,419.642,27.08.2018,26.08.2033,,
"ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ"" — Навага (403) — 2026","ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ""",6507010423,2026,Дальневосточный,Навага (403),Промышленная,7.527,587.516,27.08.2018,26.08.2033,,
"ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ"" — Навага (403) 1 — 2024","ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ""",6507010423,2024,Дальневосточный,Навага (403) 1,Промышленная,7.527,436.366,27.08.2018,26.08.2033,,
"ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ"" — Навага (403) 1 — 2025","ООО ""ПОРОНАЙСКИЙ ЗВЕРОСОВХОЗ""",6507010423,2025,Дальневосточный,Навага (403) 1,Промышленная,7.527,598.398,27.08.2018,26.08.2033,,
"ООО ""Сифиш"" — Морские гребешки — 2023","ООО ""Сифиш""",6507014107,2023,Дальневосточный,Морские гребешки,Промышленная,45.482,8.051,29.08.2018,28.08.2033,,
ООО «СИФИШ» — Морские гребешки — 2026,ООО «СИФИШ»,6507014107,2026,Дальневосточный,Морские гребешки,Промышленная,,45.482,nan,nan,,
"ООО ""Сифиш"" — Морские гребешки (224) — 2023","ООО ""Сифиш""",6507014107,2023,Дальневосточный,Морские гребешки (224),Промышленная,45.482,8.051,29.08.2018,28.08.2033,,
"ООО ""СИФИШ"" — Морские гребешки (224) — 2024","ООО ""СИФИШ""",6507014107,2024,Дальневосточный,Морские гребешки (224),Промышленная,45.482,8.051,29.08.2018,28.08.2033,,
"ООО ""СИФИШ"" — Морские гребешки (224) — 2025","ООО ""СИФИШ""",6507014107,2025,Дальневосточный,Морские гребешки (224),Промышленная,45.482,7.854,29.08.2018,28.08.2033,,
"ООО ""СИФИШ"" — Морские гребешки (224) — 2026","ООО ""СИФИШ""",6507014107,2026,Дальневосточный,Морские гребешки (224),Промышленная,45.482,7.854,29.08.2018,28.08.2033,,
"ООО ""Владимирово"" — Морские гребешки — 2023","ООО ""Владимирово""",6507014650,2023,Дальневосточный,Морские гребешки,Промышленная,4.25,0.752,29.08.2018,28.08.2033,,
ООО «ВЛАДИМИРОВО» — Морские гребешки — 2026,ООО «ВЛАДИМИРОВО»,6507014650,2026,Дальневосточный,Морские гребешки,Промышленная,,4.25,nan,nan,,
"ООО ""Владимирово"" — Морские гребешки (224) — 2023","ООО ""Владимирово""",6507014650,2023,Дальневосточный,Морские гребешки (224),Промышленная,4.25,0.752,29.08.2018,28.08.2033,,
"ООО ""Владимирово"" — Морские гребешки (224) — 2024","ООО ""Владимирово""",6507014650,2024,Дальневосточный,Морские гребешки (224),Промышленная,4.25,0.752,29.08.2018,28.08.2033,,
"ООО ""ВЛАДИМИРОВО"" — Морские гребешки (224) — 2025","ООО ""ВЛАДИМИРОВО""",6507014650,2025,Дальневосточный,Морские гребешки (224),Промышленная,4.25,0.734,29.08.2018,28.08.2033,,
"ООО""ВЛАДИМИРОВО"" — Морские гребешки (224) — 2026","ООО""ВЛАДИМИРОВО""",6507014650,2026,Дальневосточный,Морские гребешки (224),Промышленная,4.25,0.734,29.08.2018,28.08.2033,,
"ООО ""Владимирово"" — Навага — 2023","ООО ""Владимирово""",6507014650,2023,Дальневосточный,Навага,Промышленная,0.35,19.513,27.08.2018,26.08.2033,,
"ООО ""ВЛАДИМИРОВО"" — Навага (403) — 2026","ООО ""ВЛАДИМИРОВО""",6507014650,2026,Дальневосточный,Навага (403),Промышленная,0.35,27.319,27.08.2018,26.08.2033,,
"ООО ""Владимирово"" — Навага (403) 1 — 2024","ООО ""Владимирово""",6507014650,2024,Дальневосточный,Навага (403) 1,Промышленная,0.35,20.291,27.08.2018,26.08.2033,,
"ООО ""ВЛАДИМИРОВО"" — Навага (403) 1 — 2025","ООО ""ВЛАДИМИРОВО""",6507014650,2025,Дальневосточный,Навага (403) 1,Промышленная,0.35,27.825,27.08.2018,26.08.2033,,
"ООО ""Зюйд-Вест"" — Камбалы дальневосточные — 2023","ООО ""Зюйд-Вест""",6508006155,2023,Дальневосточный,Камбалы дальневосточные,Промышленная,7.155,69.476,30.08.2018,29.08.2033,,
"ООО ""ЗЮЙД-ВЕСТ"" — Камбалы дальневосточные (451) — 2024","ООО ""ЗЮЙД-ВЕСТ""",6508006155,2024,Дальневосточный,Камбалы дальневосточные (451),Промышленная,7.155,62.313,30.08.2018,29.08.2033,,
"ООО ""зюйд-ВЕСТ"" — Камбалы дальневосточные (451) — 2025","ООО ""зюйд-ВЕСТ""",6508006155,2025,Дальневосточный,Камбалы дальневосточные (451),Промышленная,7.155,73.863,30.08.2018,29.08.2033,,
"ООО ""ЗЮЙД-ВЕСТ"" — Камбалы дальневосточные (451) — 2026","ООО ""ЗЮЙД-ВЕСТ""",6508006155,2026,Дальневосточный,Камбалы дальневосточные (451),Промышленная,7.155,92.2,30.08.2018,29.08.2033,,
