ИНН,Название_объекта,Вид_объекта,Страна,Регион,Продукция,Виды_деятельности,Статус,Хоз_субъект,Судно
4108002681,"ООО ""Рыбхолкам""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБХОЛКАМ""",0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / горбуша потрошенная б/г мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / нерка п/б/г мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / кета п/б/г мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / голец мороженый (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / минтай б/г мороженый (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / камбала б/г мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / камбала н/р мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / треска б/г мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
4108002681,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / навага б/г мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
8203002449,"ООО ""Карага""",предприятия по производству (переработке) подконтрольной продукции,Страны Таможенного Союза,Камчатский край,Рыба и морепродукты / рыба мороженая / головы лосося мороженые (0303),"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАГА""",0
8203002449,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / икра в ястыках лососевых рыб мороженая (0303),"вылов, перемещение, производство, хранение",Без ограничений,,0
8203002449,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / молоки лососевые мороженые (0303),"вылов, перемещение, производство, хранение",Без ограничений,,0
8203002449,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, перемещение, производство, хранение",Без ограничений,,0
8203002449,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра лососевая соленая (1604)","вылов, перемещение, производство, хранение",Без ограничений,,0
2700001973,"СТР ""Мастер""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Хабаровский край,"Рыба и морепродукты / рыба мороженая / молоки рыбные, икра ястычная с/м (0303)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИХООКЕАНСКИЙ ФЛОТ""",1
2700001973,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2700001973,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5405964997,"ООО ""Лагуна""",предприятия по производству (переработке) подконтрольной продукции,Страны Таможенного Союза,Омская обл.,Рыба и морепродукты / готовая или консервированная рыба,"реализация подконтрольной продукции, производство (переработка) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАГУНА""",0
9202002416,"ООО ""Голден Фиш"" (СРТМ-К ""Комета Галлея"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,г. Севастополь,Рыба и морепродукты / рыба мороженая,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЛДЕН ФИШ""",1
6670265846,"ООО ""СФК""","предприятия по ввозу/вывозу, хранению и  реализации продукции животного происхождения/гидробионтов (холодильники и хладокомбинаты, склады и базы по хранению)",Страны Таможенного Союза,Свердловская обл.,Рыба и морепродукты / рыба мороженая,"реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СФК""",0
6670265846,,,Страны Таможенного Союза,,"Рыба и морепродукты / икра рыб (кроме осетровых, лососевых видов)","перемещение, реализация, хранение",Без ограничений,,0
6670265846,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения","перемещение, хранение, переработка",Без ограничений,,0
2503029553,"СТР ""Экарма-3"", ОАО ""РК ""Приморец""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБОЛОВЕЦКИЙ КОЛХОЗ ""ПРИМОРЕЦ""",1
2503029553,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"перемещение, производство, разделка, хранение, переработка",Усиленный лабораторный контроль,,0
5100000010,"М-0002 ""Адмирал Шабалин"" (ПАО ""Мурманский траловый флот"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Корма и кормовые добавки / мука рыбная кормовая,"перевозка (хранение) кормов и кормовых добавок, перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, производство кормов и кормовых добавок, промысел (добыча) подконтрольной продукции, реализация кормов и кормовых добавок, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ""",1
5100000010,,,Страны Таможенного Союза,,Рыба и морепродукты,"реализация, производство, разделка, хранение, переработка",Исключено,,0
5100000010,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
4107000931,"ООО ""КРИСТАЛЛ""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, производство кормов и кормовых добавок",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРИСТАЛЛ""",0
6501289105,"рыболовное судно ""Островной-6""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,"Рыба и морепродукты / икра рыб (кроме осетровых, лососевых видов)","перевозка подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",1
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / замороженая, охлажденная продукция из рыбы, ракообразных, моллюсков и прочих водных беспозвоночных","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные.","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
5190081090,"ПК-1654 ""Волк Арктики"" (ООО ""Антей Север"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб живой (0306)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ СЕВЕР""",1
5190081090,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / мясо краба в/м (0306)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5190081090,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536312206,"РС ""Капитан Егоров"" ООО ""Камчатка Краб""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб живой (0306)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, расфасовка подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЧАТКА КРАБ""",1
2536312206,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
2704007990,"СРТ ""Алсей"", ООО ""Антей""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб живой (0306)","перевозка подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ""",1
5190909506,"МК-0540 ""Крым""  (АО ""Норд Вест Ф.К."")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / икра рыб (кроме осетровых, лососевых видов)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРД ВЕСТ Ф.К.""",1
5190909506,,,Страны Таможенного Союза,,"Рыба и морепродукты / субпродукты рыбные охлажденные, мороженые","реализация, производство, разделка, хранение, переработка",Без ограничений,,0
5190909506,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"реализация, производство, разделка, хранение, переработка",Без ограничений,,0
2901128602,"АК-6015 ""Холмогоры"" (АО ""Архангельский траловый флот"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты / рыба мороженая / субпродукты рыбные (0303),"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКИЙ ТРАЛОВЫЙ ФЛОТ""",1
2901128602,,,Страны Таможенного Союза,,"Рыба и морепродукты / замороженая, охлажденная продукция из рыбы, ракообразных, моллюсков и прочих водных беспозвоночных","вылов, перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень пикши мороженая (0303),"перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба мороженая / субпродукты рыбные (головы, калтыки, икра ястычная, молоки) (0303)","перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / срезки сайды мороженые (0303),"перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень сайды мороженая (0303),"перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / хвосты палтуса мороженые (0303),"перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / срезки пикши мороженые (0303),"перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / срезки трески мороженые (0303),"перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень трески мороженая (0303),"перемещение, производство, переработка",Исключено,,0
2901128602,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, перемещение, производство, хранение, переработка",Без ограничений,,0
2901128602,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","вылов, перемещение, производство, хранение, переработка",Без ограничений,,0
6450081836,"ООО ""Десиетра Рус""","предприятия/организации розничной торговли, осуществляющие реализацию мяса/мясосырья, рыбы/рыбопродукции",Страны Таможенного Союза,Саратовская обл.,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы","реализация подконтрольной продукции, хранение подконтрольной продукции, производство (переработка) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕСИЕТРА РУС""",0
5401365544,"ООО ""Рыбный хит""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Новосибирская обл.,Рыба и морепродукты / морская капуста,"перевозка подконтрольной продукции, получение подконтрольной продукции (молоко, яйцо, мёд и т. д.), производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБНЫЙ ХИТ""",0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные.","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная лососевых пород,"реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,Рыба и морепродукты / готовые пищевые продукты,"реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, сушеные, соленые или в рассоле","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, сушеные, соленые или в рассоле","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая (пангасиус),"реализация, хранение",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы лососевых пород (включая фарш), свежие, охлажденные или мороженые","перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","реализация, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения","перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
5401365544,,,Страны Таможенного Союза,,Рыба и морепродукты / полуфабрикаты рыбные,"реализация, хранение, переработка",Без ограничений,,0
6515003317,"КЛС ""Галмаги""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛАИД""",1
8202008977,"ООО ""САДКО"" (рыбоперерабатывающая компания)",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Камчатский край,Рыба и морепродукты / рыба мороженая лососевых пород / икра в ястыках лососевых рыб мороженая (0303),производство (переработка) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САДКО""",0
8202008977,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая лососевых пород / лосось мороженый (0303),"производство, разделка, хранение",Без ограничений,,0
8202008977,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба мороженая / субпродукты рыбные (головы, калтыки, икра ястычная, молоки) (0303)","вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
7839489466,"ООО ""Подворье""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,г. Санкт-Петербург,Рыба и морепродукты / рыба свежая или охлажденная,"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ПОДВОРЬЕ""",0
7839489466,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"перемещение, реализация, хранение, переработка",Без ограничений,,0
7839489466,,,Страны Таможенного Союза,,Корма и кормовые добавки / корма для пушных зверей,"перемещение, реализация, хранение",Без ограничений,,0
7839489466,,,Страны Таможенного Союза,,Рыба и морепродукты / готовые пищевые продукты,"перемещение, реализация, хранение, переработка",Без ограничений,,0
6132011602,"ООО ""СЕМИКАРАКОРСКАЯ РЫБА""",предприятия аквакультуры,Страны Таможенного Союза,Ростовская обл.,Рыба и морепродукты,"добыча животных, производство (переработка) подконтрольной продукции, хранение подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕМИКАРАКОРСКАЯ РЫБА""",0
4909053889,"ООО ""ТИХООКЕАНСКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ"", РС ""Атка""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Магаданская обл.,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИХООКЕАНСКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",1
2704007990,"СРТМ ""Матрица"" ООО ""Антей""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","перевозка подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ""",1
6511003637,"РПК ""Куйбышевский""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты / рыба мороженая,производство (переработка) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТИНЕНТ""",0
6507009001,"ООО ""Анкор""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Сахалинская обл.,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра кеты соленая (1604)",производство (переработка) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНКОР""",0
6507009001,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра горбуши соленая (1604)","расфасовка, перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
6507009001,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра горбуши в ястыках мороженая (1604)","расфасовка, перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
6507009001,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
2704007990,"СРТМ ""Арка-37"", ООО ""Антей""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб варено-мороженый (0306)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ""",1
2704007990,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб камчатский (0306)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2704007990,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2705091353,"ООО ""ВРК""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Хабаровский край,Рыба и морепродукты / рыба мороженая лососевых пород / атлантический лосось мороженый (0303),"добыча животных, перевозка подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции, производство (переработка) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОЧНЫЙ РЫБОКОМБИНАТ""",0
