vessel,start,end,dur_days,port,port_flag,class,event_kind,is_yard,is_repair,at_repair_location,nearest_yard,yard_distance_km,yard_note,latitude,longitude,voyage
ALEXANDR BELYAKOV(RUS),2021-11-19 14:26,2021-11-20 02:49,0.52,SEVERO KURILSK,RUS,bunker_call,bunker_call,False,False,False,Петропавловск-Камчатский (СРВ),315.7,,50.6261,156.1805,16
ALEXANDR BELYAKOV(RUS),2021-12-13 08:40,2022-01-22 13:11,40.19,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),0.9,Владивосток — Дальзавод/Славянский СРЗ,43.043,132.0156,15
ALEXANDR BELYAKOV(RUS),2022-04-13 14:00,2023-07-20 05:05,462.63,VLADIVOSTOK,RUS,major_refit_or_layup,extended_layup,True,False,True,Владивосток (рейд/Большой Камень),0.9,Владивосток — Дальзавод/Славянский СРЗ,43.043,132.0156,14
ALEXANDR BELYAKOV(RUS),2023-07-20 23:45,2023-11-19 16:03,121.68,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),0.9,Владивосток — Дальзавод/Славянский СРЗ,43.043,132.0156,13
ALEXANDR BELYAKOV(RUS),2023-12-01 22:11,2023-12-02 02:11,0.17,SEVERO KURILSK,RUS,bunker_call,bunker_call,False,False,False,Петропавловск-Камчатский (СРВ),315.7,,50.6261,156.1805,12
ALEXANDR BELYAKOV(RUS),2023-12-29 11:56,2023-12-30 00:02,0.5,PETROPAVLOVSK,RUS,bunker_call,bunker_call,True,False,True,Петропавловск-Камчатский (СРВ),22.2,Петропавловск-Камчатский СРВ,52.8206,158.6545,11
ALEXANDR BELYAKOV(RUS),2024-03-19 23:21,2024-07-30 14:02,132.61,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,10
ALEXANDR BELYAKOV(RUS),2024-07-30 15:22,2024-08-01 21:15,2.24,YUZHNO-MORSKOY,RUS,port_call,unloading_call,False,False,True,Находка (НСРЗ),12.1,,42.7888,132.7522,9
ALEXANDR BELYAKOV(RUS),2024-12-19 03:19,2024-12-29 14:41,10.47,NAKHODKA,RUS,maintenance,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,8
ALEXANDR BELYAKOV(RUS),2025-04-15 03:23,2025-07-22 15:05,98.49,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,7
ALEXANDR BELYAKOV(RUS),2025-07-23 03:03,2025-07-23 06:26,0.14,YUZHNO-MORSKOY,RUS,bunker_call,bunker_call,False,False,True,Находка (НСРЗ),13.4,,42.7852,132.7355,6
ALEXANDR BELYAKOV(RUS),2025-08-14 21:29,2025-08-14 22:37,0.05,BERINGOVSKY,RUS,bunker_call,bunker_call,False,False,False,Петропавловск-Камчатский (СРВ),1639.3,,63.0402,179.3874,5
ALEXANDR BELYAKOV(RUS),2025-11-09 23:15,2025-11-12 19:53,2.86,TILICHIKI,RUS,port_call,unloading_call,False,False,False,Петропавловск-Камчатский (СРВ),929.7,,60.2925,166.2003,4
ALEXANDR BELYAKOV(RUS),2026-01-29 20:04,2026-01-30 03:15,0.3,PETROPAVLOVSK,RUS,bunker_call,bunker_call,True,False,True,Петропавловск-Камчатский (СРВ),22.2,Петропавловск-Камчатский СРВ,52.8206,158.6545,3
ALEXANDR BELYAKOV(RUS),2026-01-30 18:11,2026-02-02 03:56,2.41,SEVERO KURILSK,RUS,port_call,unloading_call,False,False,False,Петропавловск-Камчатский (СРВ),315.7,,50.6261,156.1805,2
ALEXANDR BELYAKOV(RUS),2026-04-16 18:58,2026-04-19 06:15,2.47,SEVERO KURILSK,RUS,port_call,unloading_call,False,False,False,Петропавловск-Камчатский (СРВ),314.5,,50.6448,156.1647,1
